target_condition,metric,repeat_id,input_id,source,source_prediction_id,source_parsing_status,independent_model_call
ours_full,Mass_MnRE,2,000010_000010,SiPhy,b272c3e4fbc3bb641a775dccd266b8f96713c0d4d2d72bb6de8693c62c1037fa,PARSED,False
geometric_grounding,Mass_MnRE,2,000010_000040,SiPhy,5acdc1876f63ed953fa5a024dfe7b432e58d0b29b637b905f71c70c1cf67dab0,PARSED,False
ours_full,Mass_MnRE,2,000010_000040,SiPhy,5acdc1876f63ed953fa5a024dfe7b432e58d0b29b637b905f71c70c1cf67dab0,PARSED,False
geometric_grounding,Mass_MnRE,2,000011_000010,SiPhy,3ebca9fcb82375f1b8b45470086bf635c008d937a26d1d71dddb89afbbcd4205,PARSED,False
ours_full,Mass_MnRE,2,000011_000010,SiPhy,3ebca9fcb82375f1b8b45470086bf635c008d937a26d1d71dddb89afbbcd4205,PARSED,False
geometric_grounding,Mass_MnRE,2,000011_000040,SiPhy,1b8f43d15153a9ad3b81b6a02c3acbfe0fda0931b773c019f884f58e36af618f,PARSED,False
ours_full,Mass_MnRE,2,000011_000040,SiPhy,1b8f43d15153a9ad3b81b6a02c3acbfe0fda0931b773c019f884f58e36af618f,PARSED,False
geometric_grounding,Mass_MnRE,2,000012_000010,SiPhy,7ba47320d654911995ea3f188143748f95e8599a9d5521ce9e073f0a05480db7,PARSED,False
ours_full,Mass_MnRE,2,000012_000010,SiPhy,7ba47320d654911995ea3f188143748f95e8599a9d5521ce9e073f0a05480db7,PARSED,False
geometric_grounding,Mass_MnRE,2,000012_000040,SiPhy,ae96adf4f357989299069237abd2365890a08fa2ad17f998dd7b53506dba21c5,PARSED,False
ours_full,Mass_MnRE,2,000012_000040,SiPhy,ae96adf4f357989299069237abd2365890a08fa2ad17f998dd7b53506dba21c5,PARSED,False
geometric_grounding,Mass_MnRE,2,000013_000010,SiPhy,c5e3bf96e9644ca919394bdb909de598ad888f15440e895dad9266ca494dbe40,PARSED,False
ours_full,Mass_MnRE,2,000013_000010,SiPhy,c5e3bf96e9644ca919394bdb909de598ad888f15440e895dad9266ca494dbe40,PARSED,False
geometric_grounding,Mass_MnRE,2,000013_000040,SiPhy,187633724359f6d782372486bb31c49ee4a97f5f9d7bfeaf41bcaaa71de69901,PARSED,False
ours_full,Mass_MnRE,2,000013_000040,SiPhy,187633724359f6d782372486bb31c49ee4a97f5f9d7bfeaf41bcaaa71de69901,PARSED,False
geometric_grounding,Mass_MnRE,2,000014_000010,SiPhy,18b172625529eff13bc2ed4084df6f0e24b96471ea49aec041314ffdf9fa9844,PARSED,False
ours_full,Mass_MnRE,2,000014_000010,SiPhy,18b172625529eff13bc2ed4084df6f0e24b96471ea49aec041314ffdf9fa9844,PARSED,False
geometric_grounding,Mass_MnRE,2,000014_000040,SiPhy,d60795fe708f8b9c5ca158285e6b0a795af5ae4c65501fb0e4ec1990de111eb4,PARSED,False
ours_full,Mass_MnRE,2,000014_000040,SiPhy,d60795fe708f8b9c5ca158285e6b0a795af5ae4c65501fb0e4ec1990de111eb4,PARSED,False
geometric_grounding,Mass_MnRE,2,000015_000010,SiPhy,3420d72253b5f6cd40e94b37e88cce4d4ea8d5cea674747390ee2648e1fa3505,PARSED,False
ours_full,Mass_MnRE,2,000015_000010,SiPhy,3420d72253b5f6cd40e94b37e88cce4d4ea8d5cea674747390ee2648e1fa3505,PARSED,False
geometric_grounding,Mass_MnRE,2,000015_000040,SiPhy,83255e635c8d929a26a43581726c8bc5802441a743691997b10ae521b60098b7,PARSED,False
ours_full,Mass_MnRE,2,000015_000040,SiPhy,83255e635c8d929a26a43581726c8bc5802441a743691997b10ae521b60098b7,PARSED,False
geometric_grounding,Mass_MnRE,2,000016_000010,SiPhy,69bf433e5c7b1edf9f69a7171210ff3bd04d525d672d68e8a70a6e908a9a273d,PARSED,False
ours_full,Mass_MnRE,2,000016_000010,SiPhy,69bf433e5c7b1edf9f69a7171210ff3bd04d525d672d68e8a70a6e908a9a273d,PARSED,False
geometric_grounding,Mass_MnRE,2,000016_000040,SiPhy,28a846f9b32e36d38ba85487978b29461fe007dc8e4b4b3399dbbe1017e36e2b,PARSED,False
ours_full,Mass_MnRE,2,000016_000040,SiPhy,28a846f9b32e36d38ba85487978b29461fe007dc8e4b4b3399dbbe1017e36e2b,PARSED,False
